section,page_title,document_kind,owner,audience
"Company Benefits","Commuter Transportation Support","benefits guide","Benefits Team","employees and HR partners"
"Company Benefits","Home Office Equipment Benefit","benefits guide","Benefits Team","employees and HR partners"
"Company Benefits","Employee Assistance Program","benefits guide","Benefits Team","employees and HR partners"
"Company Benefits","Learning Platform Access","benefits guide","Learning and Development","employees and HR partners"
"Company Benefits","Annual Leave Carryover","benefits guide","Benefits Team","employees and HR partners"
"Company Benefits","Relocation Support Package","benefits guide","Benefits Team","employees and HR partners"
"IT Support","Laptop Provisioning Standard","IT support procedure","Endpoint Engineering","employees, service desk agents, endpoint engineers"
"IT Support","VPN Access Recovery","IT support procedure","Network Services","employees, service desk agents, endpoint engineers"
"IT Support","MFA Device Replacement","IT support procedure","Identity Team","employees, service desk agents, endpoint engineers"
"IT Support","Email Distribution List Request","IT support procedure","Collaboration Services","employees, service desk agents, endpoint engineers"
"IT Support","Endpoint Security Exception","IT support procedure","Security Operations","employees, service desk agents, endpoint engineers"
"IT Support","Printer and Badge Support","IT support procedure","Workplace Services","employees, service desk agents, endpoint engineers"
"IT Support","Network Access for Test Bench","IT support procedure","Network Services","employees, service desk agents, endpoint engineers"
"IT Support","Lost Device Response","IT support procedure","Security Operations","employees, service desk agents, endpoint engineers"
"IT Support","Software Installation Request","IT support procedure","Endpoint Engineering","employees, service desk agents, endpoint engineers"
"IT Support","Account Deactivation Checklist","IT support procedure","Identity Team","employees, service desk agents, endpoint engineers"
"Troubleshooting","CAN Bus Trace Missing Frames","troubleshooting article","Diagnostics Engineering","support engineers, developers, validation engineers"
"Troubleshooting","SOMEIP Service Discovery Failure","troubleshooting article","Middleware Team","support engineers, developers, validation engineers"
"Troubleshooting","OTA Update Stuck Pending","troubleshooting article","OTA Operations","support engineers, developers, validation engineers"
"Troubleshooting","Jenkins Build Agent Offline","troubleshooting article","Build Infrastructure","support engineers, developers, validation engineers"
"Troubleshooting","Docker Compose Network Conflict","troubleshooting article","Developer Platform","support engineers, developers, validation engineers"
"Troubleshooting","Android HMI Emulator Blank Screen","troubleshooting article","HMI Platform","support engineers, developers, validation engineers"
"Troubleshooting","QNX Target SSH Timeout","troubleshooting article","Embedded Platform","support engineers, developers, validation engineers"
"Troubleshooting","Certificate Expired in Test Environment","troubleshooting article","Security Engineering","support engineers, developers, validation engineers"
"Troubleshooting","Vector Database Sync Lag","troubleshooting article","Data Platform","support engineers, developers, validation engineers"
"Troubleshooting","Vehicle Log Upload Failure","troubleshooting article","Data Platform","support engineers, developers, validation engineers"
"Onboarding","First Day Engineering Checklist","onboarding guide","Engineering Operations","new hires, managers, onboarding buddies"
"Onboarding","Developer Workstation Setup","onboarding guide","Developer Platform","new hires, managers, onboarding buddies"
"Onboarding","Repository Access Orientation","onboarding guide","Developer Platform","new hires, managers, onboarding buddies"
"Onboarding","Security Training Path","onboarding guide","Security Engineering","new hires, managers, onboarding buddies"
"Onboarding","Automotive Domain Primer","onboarding guide","Systems Engineering","new hires, managers, onboarding buddies"
"Onboarding","Team Rituals and Cadence","onboarding guide","Engineering Operations","new hires, managers, onboarding buddies"
"Onboarding","Code Review Expectations","onboarding guide","Developer Platform","new hires, managers, onboarding buddies"
"Onboarding","Test Bench Safety Introduction","onboarding guide","Validation Operations","new hires, managers, onboarding buddies"
"Onboarding","Release Process Overview","onboarding guide","Release Management","new hires, managers, onboarding buddies"
"Onboarding","First Month Milestones","onboarding guide","Engineering Operations","new hires, managers, onboarding buddies"
"Projects Setups","AUTOSAR Gateway Simulator Setup","project setup record","Embedded Platform","software engineers, project owners, validation engineers"
"Projects Setups","CAN LIN Trace Analyzer Setup","project setup record","Diagnostics Engineering","software engineers, project owners, validation engineers"
"Projects Setups","CI CD Release Pipeline Setup","project setup record","Build Infrastructure","software engineers, project owners, validation engineers"
"Projects Setups","C++ Renderer Engine Setup","project setup record","HMI Platform","software engineers, project owners, validation engineers"
"Projects Setups","Flutter Embedded HMI Setup","project setup record","HMI Platform","software engineers, project owners, validation engineers"
"Projects Setups","HIL Bench Controller Setup","project setup record","Validation Operations","software engineers, project owners, validation engineers"
"Projects Setups","Internal DevTools CLI Setup","project setup record","Developer Platform","software engineers, project owners, validation engineers"
"Projects Setups","OEM Infotainment Project Setup","project setup record","Program Engineering","software engineers, project owners, validation engineers"
"Projects Setups","OEM Supplier Delivery Package Setup","project setup record","Supplier Integration","software engineers, project owners, validation engineers"
"Projects Setups","OTA Campaign Simulator Setup","project setup record","OTA Operations","software engineers, project owners, validation engineers"
"Projects Setups","Qt Wayland HMI Tool Setup","project setup record","HMI Platform","software engineers, project owners, validation engineers"
"Projects Setups","SOME/IP vSomeIP Service Setup","project setup record","Middleware Team","software engineers, project owners, validation engineers"
"Projects Setups","UDS Diagnostics Toolkit Setup","project setup record","Diagnostics Engineering","software engineers, project owners, validation engineers"
"Projects Setups","Vehicle Telemetry Ingestion Setup","project setup record","Data Platform","software engineers, project owners, validation engineers"
"Projects Setups","Yocto Embedded Image Setup","project setup record","Embedded Platform","software engineers, project owners, validation engineers"
"Other","Glossary of Automotive Software Terms","reference page","Systems Engineering","all technical employees"
"Other","Architecture Decision Record Template","reference page","Architecture Office","all technical employees"
"Other","Data Retention Rules for Logs","reference page","Data Governance","all technical employees"
"Other","Meeting Notes Standard","reference page","Engineering Operations","all technical employees"
"Other","Naming Convention Catalog","reference page","Architecture Office","all technical employees"
"Other","Vendor Evaluation Checklist","reference page","Supplier Integration","all technical employees"
"Other","Cybersecurity Evidence Folder Structure","reference page","Security Engineering","all technical employees"
"Other","Documentation Review Workflow","reference page","Engineering Operations","all technical employees"
"Other","Internal Demo Preparation","reference page","Product Engineering","all technical employees"
"Other","Legacy System Ownership Map","reference page","Architecture Office","all technical employees"
